index,emoji,category,description_eng_Latn,description_deu_Latn,description_spa_Latn,description_fra_Latn,description_jpn_Jpan,description_kor_Hang,description_por_Latn,description_ita_Latn,description_fas_Arab,description_ind_Latn,description_zho_Hans,description_rus_Cyrl,description_tur_Latn,description_ary_Latn,description_arb_Arab,is_multi_char
1010,🇩🇴,flags,dominican republic,flagge dominikanische republik,bandera república dominicana,drapeau république dominicaine,旗 ドミニカ共和国,깃발 도미니카 공화국,bandeira república dominicana,bandiera repubblica dominicana,پرچم جمهوری دومینیکن,bendera republik dominika,多米尼加共和国,флаг доминиканская республика,bayrak dominik cumhuriyeti,Jomhoriya Dominikiya,علم جمهورية الدومينيكان,
1011,🇪🇨,flags,ecuador,flagge ecuador,bandera ecuador,drapeau équateur,旗 エクアドル,깃발 에콰도르,bandeira equador,bandiera ecuador,پرچم اکوادور,bendera ekuador,厄瓜多尔,флаг эквадор,bayrak ekvador,L'equateur,علم الإكوادور,
1012,🇪🇬,flags,egypt,flagge ägypten,bandera egipto,drapeau égypte,旗 エジプト,깃발 이집트,bandeira egito,bandiera egitto,پرچم مصر,bendera mesir,埃及,флаг египет,bayrak mısır,Misr,علم مصر,
1013,🇸🇻,flags,el salvador,flagge el salvador,bandera el salvador,drapeau salvador,旗 エルサルバドル,깃발 엘살바도르,bandeira el salvador,bandiera el salvador,پرچم السالوادور,bendera el salvador,萨尔瓦多,флаг сальвадор,bayrak el salvador,Salvador,علم السلفادور,
1014,🇬🇶,flags,equatorial guinea,flagge äquatorialguinea,bandera guinea ecuatorial,drapeau guinée équatoriale,旗 赤道ギニア,깃발 적도 기니,bandeira guiné equatorial,bandiera guinea equatoriale,پرچم گینهٔ استوایی,bendera guinea ekuatorial,赤道几内亚,флаг экваториальная гвинея,bayrak ekvator ginesi,Ghinia istiwa2ia,علم غينيا الاستوائية,
1015,🇪🇷,flags,eritrea,flagge eritrea,bandera eritrea,drapeau érythrée,旗 エリトリア,깃발 에리트리아,bandeira eritreia,bandiera eritrea,پرچم اریتره,bendera eritrea,厄立特里亚,флаг эритрея,bayrak eritre,Eritrea,علم إريتريا,
1016,🇪🇪,flags,estonia,flagge estland,bandera estonia,drapeau estonie,旗 エストニア,깃발 에스토니아,bandeira estônia,bandiera estonia,پرچم استونی,bendera estonia,爱沙尼亚,флаг эстония,bayrak estonya,Estonia,علم إستونيا,
1017,🇸🇿,flags,eswatini,flagge eswatini,bandera esuatini,drapeau eswatini,旗 エスワティニ,깃발 에스와티니,bandeira essuatíni,bandiera eswatini,پرچم اسواتینی,bendera eswatini,斯威士兰,флаг эсватини,bayrak esvatini,Eswatini,علم إسواتيني,
1018,🇪🇹,flags,ethiopia,flagge äthiopien,bandera etiopía,drapeau éthiopie,旗 エチオピア,깃발 에티오피아,bandeira etiópia,bandiera etiopia,پرچم اتیوپی,bendera etiopia,埃塞俄比亚,флаг эфиопия,bayrak etiyopya,Ethiopia,علم إثيوبيا,
1019,🇪🇺,flags,european union,flagge europäische union,bandera unión europea,drapeau union européenne,旗 欧州連合,깃발 유럽 연합,bandeira união europeia,bandiera unione europea,پرچم اتحادیهٔ اروپا,bendera uni eropa,欧盟,флаг европейский союз,bayrak avrupa birliği,Itti7ad europpi,علم الاتحاد الأوروبي,
1020,🇫🇰,flags,falkland islands,flagge falklandinseln,bandera islas malvinas,drapeau îles malouines,旗 フォークランド諸島,깃발 포클랜드 제도,bandeira ilhas malvinas,bandiera isole falkland,پرچم جزایر فالکلند,bendera kepulauan falkland,福克兰群岛,флаг фолклендские о ва,bayrak falkland adaları,Jozor Falkland,علم جزر فوكلاند,
1021,🇫🇴,flags,faroe islands,flagge färöer,bandera islas feroe,drapeau îles féroé,旗 フェロー諸島,깃발 페로 제도,bandeira ilhas faroé,bandiera isole fær øer,پرچم جزایر فارو,bendera kepulauan faroe,法罗群岛,флаг фарерские о ва,bayrak faroe adaları,Jozor Faroe,علم جزر فارو,
1022,🇫🇯,flags,fiji,flagge fidschi,bandera fiyi,drapeau fidji,旗 フィジー,깃발 피지,bandeira fiji,bandiera figi,پرچم فیجی,bendera fiji,斐济,флаг фиджи,bayrak fiji,Fiji,علم فيجي,
1023,🇫🇮,flags,finland,flagge finnland,bandera finlandia,drapeau finlande,旗 フィンランド,깃발 핀란드,bandeira finlândia,bandiera finlandia,پرچم فنلاند,bendera finlandia,芬兰,флаг финляндия,bayrak finlandiya,Finlanda,علم فنلندا,
1024,🇫🇷,flags,france,flagge frankreich,bandera francia,drapeau france,旗 フランス,깃발 프랑스,bandeira frança,bandiera francia,پرچم فرانسه,bendera prancis,法国,флаг франция,bayrak fransa,Franssa,علم فرنسا,
1025,🇬🇫,flags,french guiana,flagge französisch-guayana,bandera guayana francesa,drapeau guyane française,旗 仏領ギアナ,깃발 프랑스령 기아나,bandeira guiana francesa,bandiera guyana francese,پرچم گویان فرانسه,bendera guyana prancis,法属圭亚那,флаг французская гвиана,bayrak fransız guyanası,Guyana franssawia,علم غويانا الفرنسية,
1026,🇵🇫,flags,french polynesia,flagge französisch-polynesien,bandera polinesia francesa,drapeau polynésie française,旗 仏領ポリネシア,깃발 프랑스령 폴리네시아,bandeira polinésia francesa,bandiera polinesia francese,پرچم پلی نزی فرانسه,bendera polinesia prancis,法属波利尼西亚,флаг французская полинезия,bayrak fransız polinezyası,Polynesia franssawia,علم بولينيزيا الفرنسية,
1027,🇹🇫,flags,french southern territories,flagge französische süd- und antarktisgebiete,bandera territorios australes franceses,drapeau terres australes françaises,旗 仏領極南諸島,깃발 프랑스령 남방 지역,bandeira territórios franceses do sul,bandiera terre australi francesi,پرچم سرزمین های جنوبی فرانسه,bendera wilayah selatan prancis,法属南部领地,флаг французские южные территории,bayrak fransız güney toprakları,A9alim janoubia franssawia,علم الأقاليم الجنوبية الفرنسية,
1028,🇬🇦,flags,gabon,flagge gabun,bandera gabón,drapeau gabon,旗 ガボン,깃발 가봉,bandeira gabão,bandiera gabon,پرچم گابن,bendera gabon,加蓬,флаг габон,bayrak gabon,Gabon,علم الغابون,
1029,🇬🇲,flags,gambia,flagge gambia,bandera gambia,drapeau gambie,旗 ガンビア,깃발 감비아,bandeira gâmbia,bandiera gambia,پرچم گامبیا,bendera gambia,冈比亚,флаг гамбия,bayrak gambiya,Ghambia,علم غامبيا,
1030,🇬🇪,flags,georgia,flagge georgien,bandera georgia,drapeau géorgie,旗 ジョージア,깃발 조지아,bandeira geórgia,bandiera georgia,پرچم گرجستان,bendera georgia,格鲁吉亚,флаг грузия,bayrak gürcistan,Jorgia,علم جورجيا,
1031,🇩🇪,flags,germany,flagge deutschland,bandera alemania,drapeau allemagne,旗 ドイツ,깃발 독일,bandeira alemanha,bandiera germania,پرچم آلمان,bendera jerman,德国,флаг германия,bayrak almanya,Almania,علم ألمانيا,
1032,🇬🇭,flags,ghana,flagge ghana,bandera ghana,drapeau ghana,旗 ガーナ,깃발 가나,bandeira gana,bandiera ghana,پرچم غنا,bendera ghana,加纳,флаг гана,bayrak gana,Ghana,علم غانا,
1033,🇬🇮,flags,gibraltar,flagge gibraltar,bandera gibraltar,drapeau gibraltar,旗 ジブラルタル,깃발 지브롤터,bandeira gibraltar,bandiera gibilterra,پرچم جبل الطارق,bendera gibraltar,直布罗陀,флаг гибралтар,bayrak cebelitarık,Jabal Tarek,علم جبل طارق,
1034,🇬🇷,flags,greece,flagge griechenland,bandera grecia,drapeau grèce,旗 ギリシャ,깃발 그리스,bandeira grécia,bandiera grecia,پرچم یونان,bendera yunani,希腊,флаг греция,bayrak yunanistan,Lyounane,علم اليونان,
1035,🇬🇱,flags,greenland,flagge grönland,bandera groenlandia,drapeau groenland,旗 グリーンランド,깃발 그린란드,bandeira groenlândia,bandiera groenlandia,پرچم گرینلند,bendera greenland,格陵兰,флаг гренландия,bayrak grönland,Greenlanda,علم غرينلاند,
1036,🇬🇩,flags,grenada,flagge grenada,bandera granada,drapeau grenade,旗 グレナダ,깃발 그레나다,bandeira granada,bandiera grenada,پرچم گرنادا,bendera grenada,格林纳达,флаг гренада,bayrak grenada,Grenada,علم غرينادا,
1037,🇬🇵,flags,guadeloupe,flagge guadeloupe,bandera guadalupe,drapeau guadeloupe,旗 グアドループ,깃발 과들루프,bandeira guadalupe,bandiera guadalupa,پرچم گوادلوپ,bendera guadeloupe,瓜德罗普,флаг гваделупа,bayrak guadeloupe,Guadeloupe,علم غوادلوب,
1038,🇬🇺,flags,guam,flagge guam,bandera guam,drapeau guam,旗 グアム,깃발 괌,bandeira guam,bandiera guam,پرچم گوام,bendera guam,关岛,флаг гуам,bayrak guam,Guam,علم غوام,
1039,🇬🇹,flags,guatemala,flagge guatemala,bandera guatemala,drapeau guatemala,旗 グアテマラ,깃발 과테말라,bandeira guatemala,bandiera guatemala,پرچم گواتمالا,bendera guatemala,危地马拉,флаг гватемала,bayrak guatemala,Guatemala,علم غواتيمالا,
1040,🇬🇬,flags,guernsey,flagge guernsey,bandera guernesey,drapeau guernesey,旗 ガーンジー,깃발 건지,bandeira guernsey,bandiera guernsey,پرچم گرنزی,bendera guernsey,根西岛,флаг гернси,bayrak guernsey,Guernsey,علم غيرنزي,
1041,🇬🇳,flags,guinea,flagge guinea,bandera guinea,drapeau guinée,旗 ギニア,깃발 기니,bandeira guiné,bandiera guinea,پرچم گینه,bendera guinea,几内亚,флаг гвинея,bayrak gine,Ghinia,علم غينيا,
1042,🇬🇼,flags,guinea-bissau,flagge guinea-bissau,bandera guinea-bisáu,drapeau guinée-bissau,旗 ギニアビサウ,깃발 기니비사우,bandeira guiné-bissau,bandiera guinea-bissau,پرچم گینهٔ بیسائو,bendera guinea-bissau,几内亚比绍,флаг гвинея бисау,bayrak gine-bissau,Ghinia Bissau,علم غينيا بيساو,
1043,🇬🇾,flags,guyana,flagge guyana,bandera guyana,drapeau guyana,旗 ガイアナ,깃발 가이아나,bandeira guiana,bandiera guyana,پرچم گویان,bendera guyana,圭亚那,флаг гайана,bayrak guyana,Guyana,علم غيانا,
1044,🇭🇹,flags,haiti,flagge haiti,bandera haití,drapeau haïti,旗 ハイチ,깃발 아이티,bandeira haiti,bandiera haiti,پرچم هائیتی,bendera haiti,海地,флаг гаити,bayrak haiti,Haiti,علم هايتي,
1045,🇭🇲,flags,heard & mcdonald islands,flagge heard und mcdonaldinseln,bandera islas heard y mcdonald,drapeau îles heard-et-macdonald,旗 ハード島・マクドナルド諸島,깃발 허드 맥도널드 제도,bandeira ilhas heard e mcdonald,bandiera isole heard e mcdonald,پرچم هرد و جزایر مک دونالد,bendera pulau heard dan kepulauan mcdonald,赫德岛和麦克唐纳群岛,флаг о ва херд и макдональд,bayrak heard adası ve mcdonald adaları,Jozor Heard w McDonald,علم جزيرة هيرد وجزر ماكدونالد,
1046,🇭🇳,flags,honduras,flagge honduras,bandera honduras,drapeau honduras,旗 ホンジュラス,깃발 온두라스,bandeira honduras,bandiera honduras,پرچم هندوراس,bendera honduras,洪都拉斯,флаг гондурас,bayrak honduras,Honduras,علم هندوراس,
1047,🇭🇰,flags,hong kong sar china,flagge sonderverwaltungsregion hongkong,bandera rae de hong kong (china),drapeau r.a.s. chinoise de hong kong,旗 中華人民共和国香港特別行政区,깃발 홍콩(중국 특별행정구),bandeira hong kong rae da china,bandiera ras di hong kong,پرچم هنگ کنگ منطقهٔ ویژهٔ اداری چین,bendera hong kong dak tiongkok,香港,флаг гонконг (сар),bayrak çin hong kong öib,Hong Kong SAR China,علم هونغ كونغ الصينية (منطقة إدارية خاصة),
1048,🇭🇺,flags,hungary,flagge ungarn,bandera hungría,drapeau hongrie,旗 ハンガリー,깃발 헝가리,bandeira hungria,bandiera ungheria,پرچم مجارستان,bendera hungaria,匈牙利,флаг венгрия,bayrak macaristan,Hangharia,علم هنغاريا,
1049,🇮🇸,flags,iceland,flagge island,bandera islandia,drapeau islande,旗 アイスランド,깃발 아이슬란드,bandeira islândia,bandiera islanda,پرچم ایسلند,bendera islandia,冰岛,флаг исландия,bayrak izlanda,Islanda,علم آيسلندا,
1050,🇮🇳,flags,india,flagge indien,bandera india,drapeau inde,旗 インド,깃발 인도,bandeira índia,bandiera india,پرچم هند,bendera india,印度,флаг индия,bayrak hindistan,Lhind,علم الهند,
1051,🇮🇩,flags,indonesia,flagge indonesien,bandera indonesia,drapeau indonésie,旗 インドネシア,깃발 인도네시아,bandeira indonésia,bandiera indonesia,پرچم اندونزی,bendera indonesia,印度尼西亞,флаг индонезия,bayrak endonezya,Indonesia,علم إندونيسيا,
1052,🇮🇷,flags,iran,flagge iran,bandera irán,drapeau iran,旗 イラン,깃발 이란,bandeira irã,bandiera iran,پرچم ایران,bendera iran,伊朗,флаг иран,bayrak iran,Iran,علم إيران,
1053,🇮🇶,flags,iraq,flagge irak,bandera irak,drapeau irak,旗 イラク,깃발 이라크,bandeira iraque,bandiera iraq,پرچم عراق,bendera irak,伊拉克,флаг ирак,bayrak irak,L3ira9,علم العراق,
1054,🇮🇪,flags,ireland,flagge irland,bandera irlanda,drapeau irlande,旗 アイルランド,깃발 아일랜드,bandeira irlanda,bandiera irlanda,پرچم ایرلند,bendera irlandia,爱尔兰,флаг ирландия,bayrak irlanda,Irlanda,علم أيرلندا,
1055,🇮🇲,flags,isle of man,flagge isle of man,bandera isla de man,drapeau île de man,旗 マン島,깃발 맨섬,bandeira ilha de man,bandiera isola di man,پرچم جزیرهٔ من,bendera pulau man,马恩岛,флаг о в мэн,bayrak man adası,Jazirat Man,علم جزيرة مان,
1056,🇮🇱,flags,israel,flagge israel,bandera israel,drapeau israël,旗 イスラエル,깃발 이스라엘,bandeira israel,bandiera israele,پرچم اسرائیل,bendera israel,以色列,флаг израиль,bayrak israil,Isra2il,علم إسرائيل,
1057,🇮🇹,flags,italy,flagge italien,bandera italia,drapeau italie,旗 イタリア,깃발 이탈리아,bandeira itália,bandiera italia,پرچم ایتالیا,bendera italia,意大利,флаг италия,bayrak italya,Taliane,علم إيطاليا,
1058,🇯🇲,flags,jamaica,flagge jamaika,bandera jamaica,drapeau jamaïque,旗 ジャマイカ,깃발 자메이카,bandeira jamaica,bandiera giamaica,پرچم جامائیکا,bendera jamaika,牙买加,флаг ямайка,bayrak jamaika,Jamaica,علم جامايكا,
1059,🇯🇵,flags,japan,flagge japan,bandera japón,drapeau japon,旗 日本,깃발 일본,bandeira japão,bandiera giappone,پرچم ژاپن,bendera jepang,日本,флаг япония,bayrak japonya,Japoune,علم اليابان,
